account_age_days,total_orders,product_rating,discount_percent
364,504,4.87,7.91
641,824,2.96,11.2
797,713,3.28,10.74
75,431,1.87,9.36
1716,634,2.08,12.46
972,729,4.05,9.64
374,805,4.6,7.99
815,664,2.95,11.21
1247,975,3.49,10.44
1719,630,4.31,9.27
339,754,3.67,8.9
365,93,2.56,6.95
1707,498,3.36,10.63
22,232,2.56,7.95
1901,79,4.48,4.79
16,601,2.35,8.2
955,820,4.84,9.0
1644,15,4.49,3.0
1555,318,4.45,9.07
1922,523,2.7,11.57
1690,410,4.94,9.0
1711,728,1.46,13.34
1027,589,3.94,9.8
1129,264,2.0,12.57
550,547,2.06,12.49
1699,959,3.65,10.21
1539,617,1.92,12.69
132,442,2.16,9.4
647,388,4.22,9.4
254,104,4.07,4.29
251,783,4.87,7.01
1846,733,2.75,11.5
273,171,2.33,9.27
1440,606,2.49,11.87
441,351,4.79,8.53
1839,529,3.77,10.04
893,602,3.95,9.79
1763,129,4.62,6.52
930,302,1.12,13.83
1853,530,4.5,9.0
851,372,3.1,11.0
945,264,1.9,12.71
1664,680,4.37,9.19
601,194,4.69,8.79
1891,618,2.59,11.73
1712,210,4.47,9.04
50,427,3.21,7.24
1755,210,4.08,9.6
924,211,1.94,12.66
1947,37,4.66,3.3
846,216,2.75,11.5
11,684,1.52,9.35
1954,606,4.54,9.0
1678,632,3.04,11.09
1775,798,2.53,11.81
1232,254,2.27,12.19
1278,894,4.16,9.49
728,101,2.76,8.02
1949,863,4.76,9.0
1630,604,1.86,12.77
1699,26,3.68,4.08
114,444,2.01,9.47
1661,596,1.85,12.79
1154,942,3.46,10.49
277,432,3.28,8.96
1125,657,4.42,9.11
1728,722,4.9,9.0
982,965,2.38,12.03
740,891,2.94,11.23
837,396,4.37,9.19
767,565,2.27,12.19
91,541,2.82,8.13
668,259,2.99,11.16
318,633,2.32,10.66
519,291,2.77,11.47
350,279,3.99,8.53
281,311,4.23,7.63
1761,384,2.32,12.11
703,1,4.2,3.0
688,446,2.24,12.23
1235,871,4.17,9.47
1631,467,1.69,13.01
673,235,3.89,9.87
831,985,3.29,10.73
758,65,1.06,9.19
1089,455,2.7,11.57
520,138,2.06,10.32
242,720,1.59,11.09
13,713,3.18,6.99
401,494,4.39,8.37
494,288,1.91,12.65
156,222,2.36,9.31
147,65,4.92,3.0
1725,502,2.53,11.81
1240,663,2.71,11.56
873,68,4.97,4.38
1829,735,1.32,13.54
1292,804,1.98,12.6
1142,754,1.8,12.86
833,366,2.73,11.53
796,793,4.27,9.33
1261,247,4.44,9.09
1395,183,4.8,8.41
1047,427,3.1,11.0
570,556,1.08,13.89
1714,164,1.89,11.47
124,982,1.18,10.73
1043,757,4.24,9.37
1595,28,3.92,3.81
1013,784,4.24,9.37
1069,279,1.47,13.33
1874,343,2.55,11.79
1179,728,1.33,13.53
1539,433,3.53,10.39
361,820,3.3,9.6
324,551,2.16,10.93
638,58,2.86,6.37
490,564,4.56,8.92
412,666,1.95,11.94
1370,932,1.82,12.83
1242,350,3.04,11.09
41,779,4.35,5.54
56,744,2.45,8.38
1381,42,2.72,6.01
1525,973,3.46,10.49
369,258,2.06,11.44
1720,309,1.5,13.29
1335,622,3.81,9.99
1707,472,4.05,9.64
111,175,3.62,6.27
1102,216,1.12,13.83
959,158,4.83,7.53
779,965,3.07,11.04
1038,857,1.87,12.76
1905,438,1.4,13.43
1097,258,2.17,12.33
504,425,4.88,9.0
540,973,1.48,13.31
1690,147,3.34,8.8
748,130,4.12,7.09
1715,999,1.46,13.34
1867,259,3.48,10.46
1625,632,1.77,12.9
1312,386,1.08,13.89
1364,159,4.85,7.57
1323,387,3.36,10.63
1803,321,4.37,9.19
1,542,2.67,7.62
751,699,3.64,10.23
1983,437,4.03,9.67
1168,558,4.01,9.7
1723,455,1.48,13.31
1314,376,3.47,10.47
1689,913,2.03,12.53
177,512,1.98,10.02
1970,365,1.41,13.41
1802,826,2.39,12.01
1641,42,2.69,6.06
28,628,1.2,9.94
566,188,2.78,11.04
495,911,3.18,10.85
1921,328,3.99,9.73
1634,778,3.87,9.9
1479,311,1.74,12.94
408,415,3.28,10.01
546,709,3.51,10.41
972,569,3.87,9.9
1499,701,1.59,13.16
1881,588,4.18,9.46
1087,82,2.89,7.17
1987,269,4.46,9.06
1211,858,2.6,11.71
541,984,3.21,10.84
1980,163,4.01,8.41
104,698,3.3,7.55
235,996,1.85,10.67
402,126,4.07,6.24
367,570,1.83,11.75
1961,197,4.56,8.9
1402,212,2.43,11.96
1933,873,1.86,12.77
761,831,1.03,13.96
1120,266,2.18,12.31
675,531,4.67,9.0
1948,753,2.94,11.23
1482,597,4.23,9.39
649,566,3.95,9.79
633,440,1.43,13.39
364,832,1.59,12.07
1080,294,1.03,13.96
1344,620,4.09,9.59
568,999,1.45,13.36
738,846,1.47,13.33
1108,996,2.44,11.94
1242,692,2.89,11.3
506,226,4.54,9.0
1969,692,4.67,9.0
1395,853,3.64,10.23
1006,710,2.01,12.56
911,564,4.91,9.0
1713,243,1.92,12.69
274,758,1.71,11.18
1459,511,1.89,12.73
115,851,1.16,10.69
605,742,4.55,9.0
23,190,1.37,9.31
1172,916,2.57,11.76
1524,809,4.82,9.0
1310,703,1.92,12.69
1885,887,1.92,12.69
1133,552,3.27,10.76
1453,441,1.01,13.99
704,164,2.88,10.05
1280,505,1.79,12.87
1426,229,4.38,9.17
1186,914,4.35,9.21
627,761,1.99,12.59
1389,916,3.18,10.89
1552,707,3.88,9.89
848,364,4.03,9.67
1824,668,4.56,9.0
1769,751,2.53,11.81
1431,87,4.15,5.54
867,372,1.54,13.23
592,561,3.5,10.43
465,689,3.08,10.75
328,726,1.35,12.12
211,754,3.73,7.79
184,490,3.2,8.33
1935,560,4.26,9.34
1632,253,2.38,12.03
1853,850,4.14,9.51
1136,123,1.56,10.5
1949,661,3.29,10.73
1467,917,4.19,9.44
1261,233,4.17,9.47
1986,490,4.77,9.0
1313,304,4.79,9.0
872,50,4.5,3.75
1921,11,4.81,3.0
1569,299,2.17,12.33
1304,310,2.82,11.4
914,69,3.18,6.3
1028,202,2.39,12.01
635,148,3.91,8.02
776,504,4.47,9.04
644,344,3.91,9.84
386,530,4.66,8.09
117,258,2.15,9.29
1945,412,4.53,9.0
1807,317,2.97,11.19
1184,721,4.93,9.0
1615,221,3.82,9.97
1936,439,2.41,11.99
140,951,2.77,8.59
1928,730,2.13,12.39
1982,453,4.41,9.13
1053,1,2.02,5.58
92,558,3.09,7.75
1677,792,3.0,11.14
29,71,1.51,4.99
1084,472,3.56,10.34
543,201,4.69,9.0
804,356,3.17,10.9
