epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8169,0.87102,2.98424,1.32597,0.00539,0.90904,0.20988,0.12832,1.0799,3.05723,1.64333,0.00045728,0.00045728,0.00045728
2,40.9015,1.0154,2.40335,1.43375,0.40845,0.22383,0.28234,0.1844,1.31907,2.7437,2.09819,0.000910459,0.000910459,0.000910459
3,54.4796,1.0775,2.58207,1.44879,0.38744,0.25957,0.23856,0.12896,1.62206,2.88928,2.32068,0.00134496,0.00134496,0.00134496
4,69.0375,1.21536,2.29277,1.57337,0.29144,0.22981,0.19635,0.10809,1.72858,4.74805,2.48054,0.00134412,0.00134412,0.00134412
5,84.2703,1.22147,2.2526,1.58059,0.53992,0.34933,0.33348,0.18721,1.57323,4.31303,2.27283,0.00131582,0.00131582,0.00131582
6,100.122,1.13374,2.04568,1.49002,0.25942,0.31264,0.20801,0.09127,1.858,3.91484,2.43883,0.00128753,0.00128753,0.00128753
7,115.863,1.09991,1.98547,1.47924,0.56864,0.31951,0.38984,0.25906,1.35164,2.82792,1.89973,0.00125923,0.00125923,0.00125923
8,131.261,1.10292,1.97307,1.46557,0.32786,0.45295,0.30241,0.18685,1.50689,3.13291,2.18916,0.00123094,0.00123094,0.00123094
9,144.364,1.07983,1.89331,1.46519,0.4309,0.46123,0.44647,0.26141,1.32306,2.94047,1.90704,0.00120265,0.00120265,0.00120265
10,159.138,1.00391,1.94688,1.4163,0.50275,0.43992,0.41439,0.25515,1.26324,2.74051,1.91613,0.00117435,0.00117435,0.00117435
11,174.633,0.96133,1.72175,1.39146,0.55792,0.47773,0.50482,0.30842,1.28461,2.2571,1.92973,0.00114606,0.00114606,0.00114606
12,189.931,0.98797,1.67774,1.38699,0.70047,0.54656,0.62139,0.4477,1.04941,1.86356,1.64847,0.00111776,0.00111776,0.00111776
13,205.733,0.95714,1.63132,1.39157,0.46303,0.54351,0.5282,0.34724,1.1729,1.99332,1.68246,0.00108947,0.00108947,0.00108947
14,219.297,0.93328,1.68765,1.35264,0.52739,0.42644,0.44767,0.30251,1.22207,2.16881,1.75797,0.00106118,0.00106118,0.00106118
15,233.544,0.92253,1.60364,1.35407,0.66884,0.48927,0.53294,0.38638,0.9596,2.03668,1.54692,0.00103288,0.00103288,0.00103288
16,248.776,0.89689,1.56439,1.33965,0.67755,0.50973,0.61887,0.43708,0.94457,1.64282,1.53188,0.00100459,0.00100459,0.00100459
17,264.15,0.85096,1.5584,1.298,0.70165,0.61737,0.60059,0.43588,1.0686,1.84121,1.67807,0.000976293,0.000976293,0.000976293
18,279.705,0.87677,1.49524,1.31723,0.5165,0.49333,0.4802,0.31048,1.3016,1.96223,1.77466,0.000947999,0.000947999,0.000947999
